Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,4999,
Trigger Level,-8.000E-02,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,
Vertical Position,1.200E-01,
Horizontal Units,S,
Horizontal Scale,2.000E-02,
Horizontal Position,0.000E+00,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-05,
Horizontal Old Scale,2.000E-02,
Horizontal Old Position,0.000E+00,
Firmware,V1.23,
Mode,Detail,
Waveform Data,
-8.993999e-02,0.00e+00,
-8.991999e-02,0.00e+00,
-8.989999e-02,0.00e+00,
-8.987999e-02,0.00e+00,
-8.985999e-02,0.00e+00,
-8.983999e-02,0.00e+00,
-8.981999e-02,0.00e+00,
-8.979999e-02,0.00e+00,
-8.977999e-02,0.00e+00,
-8.975999e-02,0.00e+00,
-8.973999e-02,0.00e+00,
-8.971999e-02,0.00e+00,
-8.969999e-02,0.00e+00,
-8.967999e-02,0.00e+00,
-8.965999e-02,0.00e+00,
-8.963999e-02,0.00e+00,
-8.961999e-02,0.00e+00,
-8.959999e-02,0.00e+00,
-8.957999e-02,0.00e+00,
-8.955999e-02,0.00e+00,
-8.953999e-02,0.00e+00,
-8.951999e-02,0.00e+00,
-8.949999e-02,0.00e+00,
-8.947999e-02,0.00e+00,
-8.945999e-02,0.00e+00,
-8.943999e-02,0.00e+00,
-8.941999e-02,0.00e+00,
-8.939999e-02,0.00e+00,
-8.937999e-02,0.00e+00,
-8.935999e-02,0.00e+00,
-8.933999e-02,0.00e+00,
-8.931999e-02,0.00e+00,
-8.929999e-02,0.00e+00,
-8.927999e-02,0.00e+00,
-8.925999e-02,0.00e+00,
-8.923999e-02,0.00e+00,
-8.921999e-02,0.00e+00,
-8.919999e-02,0.00e+00,
-8.917999e-02,0.00e+00,
-8.915999e-02,0.00e+00,
-8.913999e-02,0.00e+00,
-8.911999e-02,0.00e+00,
-8.909999e-02,0.00e+00,
-8.907999e-02,0.00e+00,
-8.905999e-02,0.00e+00,
-8.903999e-02,0.00e+00,
-8.901999e-02,0.00e+00,
-8.899999e-02,0.00e+00,
-8.897999e-02,0.00e+00,
-8.895999e-02,0.00e+00,
-8.893999e-02,0.00e+00,
-8.891999e-02,0.00e+00,
-8.889999e-02,0.00e+00,
-8.887999e-02,0.00e+00,
-8.885999e-02,0.00e+00,
-8.883999e-02,0.00e+00,
-8.881999e-02,0.00e+00,
-8.879999e-02,0.00e+00,
-8.877999e-02,0.00e+00,
-8.875999e-02,0.00e+00,
-8.873999e-02,0.00e+00,
-8.871999e-02,0.00e+00,
-8.869999e-02,0.00e+00,
-8.867999e-02,0.00e+00,
-8.865999e-02,0.00e+00,
-8.863999e-02,0.00e+00,
-8.861999e-02,0.00e+00,
-8.859999e-02,0.00e+00,
-8.857999e-02,0.00e+00,
-8.855999e-02,0.00e+00,
-8.853999e-02,0.00e+00,
-8.851999e-02,0.00e+00,
-8.849999e-02,0.00e+00,
-8.847999e-02,0.00e+00,
-8.845999e-02,0.00e+00,
-8.843999e-02,0.00e+00,
-8.841999e-02,0.00e+00,
-8.839999e-02,0.00e+00,
-8.837999e-02,0.00e+00,
-8.835999e-02,0.00e+00,
-8.833999e-02,0.00e+00,
-8.831999e-02,0.00e+00,
-8.829999e-02,4.00e-02,
-8.827999e-02,0.00e+00,
