Format,1.0B,
Memory Length,10000,
IntpDistance,0,
Trigger Address,5019,
Trigger Level,2.240E-01,
Source,CH1,
Vertical Units,V,
Vertical Units Div,0,
Vertical Units Extend Div,16,
Label, ,
Probe Type,0,
Probe Ratio,1.000E+00,
Vertical Scale,1.000E+00,
Vertical Position,1.720E+00,
Horizontal Units,S,
Horizontal Scale,2.000E-05,
Horizontal Position,-4.000E-07,
Horizontal Mode,Main,
SincET Mode,Real Time,
Sampling Period,2.000E-08,
Horizontal Old Scale,2.000E-05,
Horizontal Old Position,-4.000E-07,
Firmware,V1.29,
Mode,Detail,
Waveform Data,
-9.024000e-05,-1.56e+00,
-9.022000e-05,-1.56e+00,
-9.020000e-05,-1.56e+00,
-9.018000e-05,-1.56e+00,
-9.016000e-05,-1.56e+00,
-9.014000e-05,-1.56e+00,
-9.012000e-05,-1.56e+00,
-9.010000e-05,-1.56e+00,
-9.008000e-05,-1.56e+00,
-9.006000e-05,-1.56e+00,
-9.004000e-05,-1.56e+00,
-9.002000e-05,-1.56e+00,
-9.000000e-05,-1.56e+00,
-8.998000e-05,-1.56e+00,
-8.996000e-05,-1.56e+00,
-8.994000e-05,-1.56e+00,
-8.992000e-05,-1.56e+00,
-8.990000e-05,-1.56e+00,
-8.988000e-05,-1.60e+00,
-8.986000e-05,-1.56e+00,
-8.984000e-05,-1.60e+00,
-8.982000e-05,-1.60e+00,
-8.980000e-05,-1.60e+00,
-8.978000e-05,-1.60e+00,
-8.976000e-05,-1.60e+00,
-8.974000e-05,-1.60e+00,
-8.972000e-05,-1.60e+00,
-8.970000e-05,-1.60e+00,
-8.968000e-05,-1.60e+00,
-8.966000e-05,-1.60e+00,
-8.964000e-05,-1.60e+00,
-8.962000e-05,-1.60e+00,
-8.960000e-05,-1.60e+00,
-8.958000e-05,-1.60e+00,
-8.956000e-05,-1.60e+00,
-8.954000e-05,-1.60e+00,
-8.952000e-05,-1.60e+00,
-8.950000e-05,-1.60e+00,
-8.948000e-05,-1.60e+00,
-8.946000e-05,-1.60e+00,
-8.944000e-05,-1.60e+00,
-8.942000e-05,-1.60e+00,
-8.940000e-05,-1.60e+00,
-8.938000e-05,-1.60e+00,
-8.936000e-05,-1.60e+00,
-8.934000e-05,-1.60e+00,
-8.932000e-05,-1.60e+00,
-8.930000e-05,-1.60e+00,
-8.928000e-05,-1.64e+00,
-8.926000e-05,-1.60e+00,
-8.924000e-05,-1.60e+00,
-8.922000e-05,-1.60e+00,
-8.920000e-05,-1.60e+00,
-8.918000e-05,-1.64e+00,
-8.916000e-05,-1.64e+00,
-8.914000e-05,-1.64e+00,
-8.912000e-05,-1.64e+00,
-8.910000e-05,-1.64e+00,
-8.908000e-05,-1.64e+00,
-8.906000e-05,-1.64e+00,
-8.904000e-05,-1.64e+00,
